,time_skew,time_kurt,time_rms,time_var,time_std,time_absolute_mean,time_shape_factor,time_vmax,time_impulse_factor,time_crest_factor,time_sqr_mean,time_clearance_factor,time_mean,time_energy_operator,time_log_energy_entropy,time_shannon_entropy,time_sqrt_amplitude_val,time_time_cp1,time_time_cp2,time_time_cp3,time_time_cp4,time_time_cp5,time_time_cp6,time_log_detector,time_wave_length,time_wilson_amplitude,time_slope_sign_change,freq_mean,freq_var,freq_skew,freq_kurt,freq_central_freq,freq_std,freq_rms,freq_cp1,freq_cp2,freq_cp3,freq_cp4,freq_cp5,freq_centroid,freq_spread,freq_entropy,pow_total,pow_mdf,pow_pkf,pow_1sm,pow_2sm,pow_3sm,pow_4sm,pow_vcf,pow_freq_ratio,Label
0,0.011944715870986816,-1.6563113456812086,7.456225837659456,10671.46982135181,103.30280645438346,126.73904197620406,0.05883132554417922,255,2.012008265360548,34.199607891711295,55.595303742180455,4.5867183527325555,126.73904197620406,-175.8855101462875,855654.0991210938,,inf,0.0,34.199607891711295,2.012008265360548,0.8281680283079054,inf,inf,0.0,95613870,744531.0,740949.5,92.53615680525317,35.29058697035592,-0.7779526895038856,2.251952799643692,31154.89712391083,12853.381973068466,36009.24690809833,1.7958790488812937,0.412563775189093,,23083.119392702163,48397.99185784186,186940.34926725255,108345.53132033894,18.513444029943557,0.16264545748147688,0.08132272874073844,40000,6505.8182992590755,260232731.97036302,112603077.85871011,-171910492.2098899,0.0,0.5018981885715436,cutting
0,0.00703808209309252,-1.6563918512549785,7.441946265789543,10674.99938590567,103.31988862704833,127.07551023673278,0.05856318225223505,255,2.006680905903528,34.26522994021459,55.38256422289892,4.604337187669719,127.07551023673278,-175.9351912346906,853396.12109375,,inf,0.0,34.26522994021459,2.006680905903528,0.8291181498788434,inf,inf,0.0,95645102,744589.0,741160.5,92.53482372764539,35.17256059484247,-0.7874200772681792,2.1908657178572604,31151.331452967795,79160.33774516344,36006.09305787065,0.007749405709567286,2.5411542317117175,,613.4455732936443,48395.27551002719,186918.95398647818,108344.7068433643,18.51345230557493,0.1624833331619661,0.08124166658098304,40000,6499.333326478643,259973333.05914575,112490835.57629196,-171739132.5420709,0.0,0.5012765385567962,cutting
0,-0.039302714587454435,-1.6544812104714877,7.488175104636955,10643.42336719626,103.1669683920016,130.1459727695975,0.0575367408248088,255,1.9593383842267362,34.05369084412764,56.07276639770467,4.547662196499696,130.1459727695975,-176.32495302753424,873992.6655273438,,inf,0.0,34.05369084412764,1.9593383842267362,0.8427147187171422,inf,inf,0.0,95657387,744545.0,742004.5,92.92858624344558,36.05195519245727,-0.7749248125316525,2.100880459648776,31164.574398785913,11615.05757145841,36014.1355282542,2.1354454861883134,0.37270066399209034,,24803.322262788253,48391.53924179297,186998.41632290388,108303.82052261215,18.51340388159457,0.16268112674060214,0.08134056337030107,40000,6507.245069624086,260289802.78496343,112627772.48236969,-171948193.35437885,0.0,0.5076958770272186,cutting
0,-0.04793653652162573,-1.6532815724252152,7.47884348845491,10647.304514805048,103.18577670786341,130.70129485736837,0.05722088290415499,255,1.9510135708928993,34.09618083245672,55.93309992480441,4.5590178327827005,130.70129485736837,-176.52451750778923,867369.34765625,,inf,0.0,34.09618083245672,1.9510135708928993,0.8435464669384547,inf,inf,0.0,95623601,744502.0,741774.0,92.90285887329304,35.83666529341604,-0.7751846260043116,2.032284939075442,31160.191105640133,32018.495430857718,36010.75735324924,0.1090184701227654,1.027544899269319,,3490.6073875048623,48391.54662572943,186972.11502110993,108308.78619426451,18.513422830167762,0.16226156896382543,0.08113078448191272,40000,6490.462758553017,259618510.34212068,112337303.27569051,-171504735.6333147,0.0,0.5072455191137052,cutting
0,-0.044817404155964934,-1.6532997529548081,7.452083782288127,10663.748282022649,103.26542636343807,130.5376031272832,0.057087640677926564,255,1.953460105678188,34.218616892911996,55.53355269824171,4.59181859632895,130.5376031272832,-177.07761803361635,853865.1772460938,,inf,0.0,34.218616892911996,1.953460105678188,0.8411814278887607,inf,inf,0.0,95648170,744563.0,741664.5,92.6756500707253,35.29143511911795,-0.830152364414866,2.2287883333719813,31158.295229977382,15673.281430495806,36009.13384400469,0.9466998494516567,0.5030211478135219,,14837.893170663827,48390.90752954575,186960.73909978528,108308.98949380513,18.513449281179156,0.1625679000313745,0.08128395001568725,40000,6502.71600125498,260108640.0501992,112549383.10616286,-171828516.73004493,0.0,0.5061202332256117,cutting
0,-0.042765293217882014,-1.653641575140965,7.425647880075892,10680.377930299986,103.34591395067338,130.36199609622903,0.05696175344380672,255,1.9560915576328488,34.340437914407794,55.140246438875586,4.624571279032534,130.36199609622903,-176.79516669400456,840765.6015625,,inf,0.0,34.340437914407794,1.9560915576328488,0.8386265456256861,inf,inf,0.0,95653550,744534.0,741178.5,92.42376936633435,35.04234340596613,-0.8507182384953798,2.288405189424127,31153.532959318654,22840.744005731165,36006.58112053164,0.31672579845549215,0.7331670547785828,,7234.2528825327,48392.47985931224,186932.16379951363,108327.75464845297,18.513453918729354,0.16302962126316417,0.08151481063158209,40000,6521.184850526567,260847394.02106267,112869043.01316121,-172316539.7308088,0.0,0.5070811641274626,cutting
0,-0.036765362014164485,-1.6541825745143943,7.457597817557682,10672.40471888843,103.30733138983133,129.97673336497593,0.05737640594964542,255,1.961889588992497,34.193316164039395,55.615765208441104,4.585030863897873,129.97673336497593,-176.82128930157953,848156.5043945312,,inf,0.0,34.193316164039395,1.961889588992497,0.8377829277592679,inf,inf,0.0,95652266,744647.0,741685.5,93.0884435398547,36.65291991522378,-0.7518154273735342,1.9958987114459,31154.13952551517,19904.595411727983,36006.03833762267,0.4762797154907889,0.6389069226394831,,9480.155039657066,48390.148859150286,186935.80341020398,108314.97767312366,18.513370086881007,0.16288334158575757,0.08144167079287878,40000,6515.333663430302,260613346.5372121,112767770.32987069,-172161927.28892034,0.0,0.5199974907727315,cutting
0,-0.04506204443199058,-1.6534945624047974,7.449177711135892,10671.696346142115,103.30390286016359,130.5665187642325,0.057052740485384876,255,1.9530274867821236,34.231966250287805,55.49024857208377,4.595402013179776,130.5665187642325,-177.2918610761418,845860.4033203125,,inf,0.0,34.231966250287805,1.9530274867821236,0.8397803792701051,inf,inf,0.0,95639215,744635.0,742105.5,93.22846976222947,36.45144216233445,-0.7406211258557236,2.0639663631994525,31153.27260987402,11746.128387238465,36003.76691580799,2.4094147243374775,0.37704316122202625,,28301.294690170795,48387.35683250697,186930.60161120276,108296.76887226767,18.513396892925517,0.16174297572222526,0.08087148786111263,40000,6469.719028889011,258788761.15556043,111978269.60782705,-170956600.93099535,0.0,0.5075989813323607,cutting
0,-0.04275652359008162,-1.6530179015110682,7.430107304226474,10685.676438109886,103.3715455921497,130.351947352422,0.05700035523165829,255,1.9562423514132639,34.319827367089054,55.2064945523196,4.619021766693312,130.351947352422,-177.33013883137872,831983.9677734375,,inf,0.0,34.319827367089054,1.9562423514132639,0.8366207993408475,inf,inf,0.0,95640747,744665.0,741766.5,92.9009336045989,35.73252084020465,-0.8010467866814225,2.1702615418795768,31148.252977813518,11496.487421767817,36001.65047590398,2.6344770940849824,0.3690893171426536,,30287.232775083434,48389.74587117158,186900.4820519293,108323.41809104738,18.513431241209997,0.16241012723036818,0.08120506361518409,40000,6496.405089214727,259856203.5685891,112440153.47706164,-171661756.46327624,0.0,0.5123400777282485,cutting
0,-0.04377219548851075,-1.6529305329899882,7.396817570816273,10701.177602043917,103.44649632560746,130.44875500637295,0.056702860601888526,255,1.95479059947749,34.4742854016149,54.712910175936344,4.660691584125483,130.44875500637295,-177.36534884150294,818175.1840820312,,inf,0.0,34.4742854016149,1.95479059947749,0.835164218216083,inf,inf,0.0,95639213,744632.0,740560.5,92.31734121121438,34.857326776897324,-0.8405040142288095,2.208172538269274,31142.86986948387,21915.789379613252,35998.21821986088,0.3986584223570096,0.7037177200257961,,8736.914018785124,48391.29123812412,186868.18150709715,108338.0745771701,18.513460397611617,0.16251529734792025,0.08125764867396013,40000,6500.61189391681,260024475.7566724,112512965.09515724,-171772917.55534798,0.0,0.5020122901498015,cutting
